week,glue
2020-01-01,98
2020-01-08,11
2020-01-15,63
2020-01-22,85
2020-01-29,84
2020-02-05,2
2020-02-12,80
2020-02-19,24
2020-02-26,25
2020-03-04,87
2020-03-11,9
2020-03-18,41
2020-03-25,24
2020-04-01,11
2020-04-08,18
2020-04-15,74
2020-04-22,30
2020-04-29,59
2020-05-06,54
2020-05-13,22
2020-05-20,63
2020-05-27,29
2020-06-03,97
2020-06-10,48
2020-06-17,28
2020-06-24,81
2020-07-01,33
2020-07-08,80
2020-07-15,95
2020-07-22,29
2020-07-29,99
2020-08-05,32
2020-08-12,40
2020-08-19,44
2020-08-26,38
2020-09-02,81
2020-09-09,29
2020-09-16,78
2020-09-23,66
2020-09-30,2
2020-10-07,39
2020-10-14,95
2020-10-21,92
2020-10-28,3
2020-11-04,3
2020-11-11,94
2020-11-18,44
2020-11-25,53
2020-12-02,8
2020-12-09,23
2020-12-16,6
2020-12-23,28
2020-12-30,40
2021-01-06,32
2021-01-13,22
2021-01-20,14
2021-01-27,21
2021-02-03,3
2021-02-10,42
2021-02-17,22
2021-02-24,8
2021-03-03,5
2021-03-10,4
2021-03-17,1
2021-03-24,35
2021-03-31,0
2021-04-07,50
2021-04-14,27
2021-04-21,0
2021-04-28,10
2021-05-05,16
2021-05-12,49
2021-05-19,33
2021-05-26,14
2021-06-02,47
2021-06-09,16
2021-06-16,39
2021-06-23,48
2021-06-30,33
2021-07-07,47
2021-07-14,39
2021-07-21,43
2021-07-28,36
2021-08-04,39
2021-08-11,30
2021-08-18,26
2021-08-25,10
2021-09-01,9
2021-09-08,2
2021-09-15,40
2021-09-22,26
2021-09-29,35
2021-10-06,36
2021-10-13,5
2021-10-20,20
2021-10-27,2
2021-11-03,46
2021-11-10,44
2021-11-17,29
2021-11-24,1
2021-12-01,20
2021-12-08,22
2021-12-15,10
2021-12-22,4
